,epoch,time,train_perplexity,val_loss,val_perplexity
0,1,78.2342205,778.3730948,6.24666961,516.2905097
1,2,78.88766575,566.4626659,6.047603093,423.0976879
2,3,78.97453618,466.416251,5.885551799,359.801251
3,4,78.98834443,396.2366402,5.770823217,320.8017134
4,5,79.19242191,348.5201203,5.686094901,294.74038
5,6,79.01405668,313.4047905,5.622885218,276.6865336
6,7,79.12916541,285.738141,5.564863513,261.0895661
7,8,79.31771064,262.0108277,5.514139624,248.1763604
8,9,78.61800718,242.5169294,5.47084354,237.6605843
9,10,78.56385398,226.4608999,5.439663298,230.3646062
10,11,78.45053577,212.7170803,5.409861322,223.6005769
11,12,78.52083278,201.060565,5.377496112,216.4795556
12,13,78.51641083,190.8506162,5.354430732,211.543517
13,14,78.53127217,181.8734871,5.341377361,208.8001055
14,15,78.58237362,174.1744545,5.312187129,202.7932788
15,16,78.38417339,167.041256,5.296798426,199.6964424
16,17,78.42540336,160.6400217,5.285693234,197.4910435
17,18,78.46835589,154.8009547,5.271412316,194.6907333
18,19,78.49706483,149.8499934,5.259849128,192.4524533
19,20,78.4634378,145.019793,5.245312775,189.6751316
