,epoch,time,train_perplexity,val_loss,val_perplexity
0,1,77.08285189,868.6741684,6.349872094,572.4194882
1,2,77.2121675,608.6089539,6.083479077,438.552301
2,3,77.30306888,491.1535867,5.930120449,376.1998242
3,4,77.30067849,419.0706903,5.801219267,330.7025289
4,5,77.2989974,368.3437329,5.708258984,301.3459632
5,6,77.20094943,328.7214179,5.641465664,281.8755507
6,7,77.56221938,296.7475309,5.552217474,257.8086065
7,8,77.37379432,271.9565074,5.482795697,240.5181842
8,9,77.30534267,251.9151943,5.424520941,226.9026206
9,10,77.33601308,236.3197462,5.379731272,216.9639633
10,11,77.21917844,222.7852203,5.342144227,208.9602887
11,12,77.41437769,211.7796784,5.309434526,202.235837
12,13,77.95551038,202.0637647,5.279380826,196.2483259
13,14,77.88318133,193.586682,5.253576699,191.2490871
14,15,77.89294672,186.2315479,5.231213177,187.0195538
15,16,77.79071856,179.6000521,5.208853086,182.8841854
16,17,77.87119341,173.5601167,5.189161488,179.3181294
17,18,77.93479323,168.2928588,5.170858103,176.0658553
18,19,77.9137795,163.2032232,5.157625049,173.7513143
19,20,77.92352319,159.0214224,5.141104708,170.9044635
